hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
128,1,0.0,0.001,0.5894336460045773,0.5870777410361149,0.5853018372703412,0.5936242046487469
128,1,0.0,0.0005,0.6318041289982271,0.5926700382545549,0.575777807450928,0.6999091027139333
128,2,0.0,0.001,0.5940182054616385,0.5951501004992543,0.5948691235838,0.5931697182184132
128,2,0.0,0.0005,0.6383596232822046,0.5960416261427738,0.5771905424200278,0.714030645370731
128,2,0.1,0.001,0.6003246387991579,0.5968845231148285,0.5944492186256723,0.6063173613816387
128,2,0.1,0.0005,0.6075860304464629,0.6022174674187901,0.5987016261187444,0.616738085962862
200,1,0.0,0.001,0.49521674429391416,0.5766225766712053,0.6118725822627633,0.41592001038826126
200,1,0.0,0.0005,0.6203069981555721,0.5962361408286325,0.5847007097905113,0.6605310998571614
200,2,0.0,0.001,0.641630781276215,0.5845166310056409,0.5635068762278979,0.7449032593169718
200,2,0.0,0.0005,0.6220215159828612,0.6024768203332685,0.5921415576031457,0.6550772626931567
200,2,0.1,0.001,0.6364483605862916,0.5826687414899825,0.5632028789923527,0.7315932995714842
200,2,0.1,0.0005,0.5790753424657534,0.6015366660182844,0.6127337295260182,0.54892221789378
256,1,0.0,0.001,0.564827053471805,0.5890715165661674,0.5993224290554078,0.5340864822750292
256,1,0.0,0.0005,0.5889471428100372,0.5958633210140699,0.598358458961474,0.5798272951564731
256,2,0.0,0.001,0.5238538948937757,0.5858458146923426,0.6149369968498425,0.4562719127386054
256,2,0.0,0.0005,0.6445563911920426,0.5962685599429424,0.5750846723878886,0.7331190754447474
256,2,0.1,0.001,0.6292255306817358,0.5852136419633016,0.5682395121823559,0.7048759901311518
256,2,0.1,0.0005,0.5737761513498585,0.5997536147312456,0.6126511353583014,0.5395403194390339
384,1,0.0,0.001,0.5561940259874721,0.5831063995331648,0.5936567576527794,0.5231788079470199
384,1,0.0,0.0005,0.6198763036623818,0.5935291447837645,0.5814469343646912,0.6637449681859499
384,2,0.0,0.001,0.6307345416702801,0.5858782338066524,0.5684695951227138,0.7083171016751071
384,2,0.0,0.0005,0.6257130589462062,0.6043571289632367,0.5929435015112764,0.6623165822620439
384,2,0.1,0.001,0.6191485891371717,0.5836575244764313,0.569861069410705,0.6777691208933905
384,2,0.1,0.0005,0.6229463720495584,0.5945017182130584,0.5814247932024084,0.6708544344890274
